resid|pid|income_level|num_adults|num_children_b12|num_children_a12
167|000026458|60883|3|8|3
168|000010719|42165|2|6|1
169|000045675|107446|3|1|2
170|000012116|31617|1|4|2
171|000009697|101294|1|3|1
172|000006858|25542|2|1|3
173|000023658|64484|3|7|4
174|000038945|57357|3|8|4
175|000002644|38683|2|4|2
176|000044219|72857|4|8|2
177|000038044|47841|4|9|2
178|000013985|103925|1|10|3
179|000044134|34961|1|9|1
180|000094649|41134|4|11|3
181|000095503|58263|3|6|4
182|000044940|29764|1|6|1
183|000072050|60782|5|8|5
184|000036540|90878|3|4|5
185|000067257|38320|2|5|0
186|000038393|43328|2|8|2
187|000067090|46058|3|7|2
188|000050299|46262|3|2|3
189|000050189|117732|3|5|0
190|000007922|90642|5|4|1
191|000016106|101804|1|1|3
192|000068759|63898|3|6|3
193|000014516|71829|5|8|4
194|000041465|27992|2|2|2
195|000015298|96518|4|10|0
196|000056580|40870|5|8|1
197|000080302|73137|1|3|1
198|000076978|21453|3|4|4
199|000094190|87279|3|4|1
200|000066719|99273|4|9|2
201|000014288|96918|3|1|4
202|000088342|89786|2|2|2
203|000022670|111942|1|6|1
204|000037554|114254|2|4|2
205|000021727|43838|3|9|1
206|000022375|39555|1|1|4
207|000088621|66638|3|12|1
208|000052095|51828|4|7|0
209|000017209|29265|4|11|4
210|000037521|102976|2|3|4
211|000097812|32818|4|11|0
212|000024926|110828|2|7|1
213|000075204|96660|2|5|5
214|000066007|52004|3|10|4
215|000054193|112993|4|1|1
216|000074861|72466|3|4|3
217|000050431|44837|2|5|0
218|000027327|59839|4|10|3
219|000036861|60574|4|7|2
220|000041895|109610|2|6|3
221|000046316|59825|4|7|4
222|000095965|54531|3|6|1
223|000009658|46593|3|6|4
224|000049577|36591|4|5|2
225|000038812|33133|4|6|3
226|000065658|67705|2|1|4
227|000052473|22436|4|2|5
228|000066248|99552|4|7|1
229|000016072|71776|2|11|4
230|000077713|86333|3|2|5
231|000010914|116703|4|9|1
232|000042952|72085|2|7|3
233|000090104|114343|1|2|2
234|000072532|55936|2|4|2
235|000081188|109179|3|4|3
236|000067154|35760|5|11|3
237|000088868|29532|4|6|4
238|000039706|40991|4|8|1
239|000047376|53848|3|4|4
240|000051792|73548|4|6|2
241|000058539|109673|4|11|1
242|000059865|113162|2|8|4
243|000063354|90276|5|6|4
244|000083701|103128|3|6|5
245|000030838|38493|1|8|2
246|000083758|95089|2|7|0
247|000021653|98090|5|11|2
248|000007626|93875|3|10|3
249|000042496|35364|4|11|0
250|000055884|109732|3|11|3
251|000020437|67533|3|6|2
252|000018456|101118|5|3|5
253|000030578|27031|5|5|4
254|000019971|49159|5|11|0
255|000042333|104438|4|5|3
256|000066473|51950|2|3|2
257|000080944|107879|1|7|4
258|000038144|84154|3|5|1
259|000083343|108644|4|5|3
260|000048870|103278|4|8|5
261|000000546|77512|1|9|4
262|000042681|24739|4|11|4
263|000042314|69415|2|6|4
264|000077212|71221|4|3|2
265|000007834|100369|4|2|2
266|000052706|51225|3|7|1
267|000064286|57993|5|11|1
268|000032453|84225|3|1|1
269|000083969|87469|4|1|4
270|000070866|67496|1|7|5
271|000002048|55136|1|9|4
272|000098872|98226|1|3|3
273|000045017|111474|3|0|1
274|000070451|116498|3|5|2
275|000010749|77884|2|7|1
276|000029080|111201|4|5|3
277|000053286|71351|3|4|5
278|000049552|74583|5|11|4
279|000064150|21138|4|9|4
280|000068048|100989|1|5|4
281|000082036|63698|3|11|2
282|000093724|20403|3|9|3
283|000020922|89927|2|10|3
284|000054052|117789|2|2|2
285|000035509|96496|3|6|2
286|000039732|62941|3|2|2
287|000046989|37780|5|3|5
288|000028204|118401|3|9|2
289|000047758|22478|4|10|0
290|000086228|24124|3|7|4
291|000086923|107428|3|4|4
292|000068925|85807|3|4|2
293|000011056|25656|4|9|2
294|000099947|46090|5|11|2
295|000097232|111048|2|5|4
296|000084331|97523|2|4|4
297|000079320|100268|2|10|4
298|000003563|90825|3|7|3
299|000051695|105617|5|5|3
300|000081027|68601|4|11|3
301|000054565|80171|4|0|4
302|000083325|81285|5|4|3
303|000020514|31651|4|5|4
304|000044424|106645|4|8|3
305|000091764|107175|3|6|3
306|000076430|116110|1|2|4
307|000057172|23371|3|4|3
308|000082116|57550|2|1|5
309|000055592|113986|1|10|3
310|000044027|24615|2|1|1
311|000078824|106884|3|1|4
312|000009702|42717|4|5|0
313|000075592|46672|5|8|1
314|000081096|21493|4|1|0
315|000089309|63869|3|7|4
316|000010367|84539|4|9|3
317|000054627|92149|4|2|4
318|000085042|97234|2|11|3
319|000048993|90786|5|5|5
320|000019514|93085|4|0|5
321|000002434|89833|4|3|4
322|000030470|75432|2|9|5
323|000081274|84709|2|10|1
324|000073837|116093|3|11|3
325|000018686|42981|1|5|0
326|000013027|42972|3|8|5
327|000013876|56506|1|10|0
328|000006559|100067|5|1|2
329|000094623|81943|2|3|1
330|000061505|78935|5|2|1
331|000031819|50445|5|6|1
332|000032465|77257|3|11|4
333|000027724|62239|3|10|3
334|000044386|97821|3|7|1
335|000058734|66764|3|3|1
336|000026458|56886|2|9|5
337|000010719|85153|5|2|1
338|000045675|115375|2|6|1
339|000012116|50277|1|6|4
340|000009697|61295|3|8|4
341|000006858|106922|3|6|3
342|000023658|113009|1|9|2
343|000038945|73944|1|8|5
344|000002644|56254|3|11|0
345|000044219|61293|1|3|2
346|000038044|58744|4|7|3
347|000013985|93854|2|7|1
348|000044134|81984|2|12|2
349|000094649|92549|3|2|3
350|000095503|75142|5|1|0
351|000044940|115708|4|12|2
352|000072050|35272|5|4|3
353|000036540|115439|3|11|2
354|000067257|52092|3|0|0
355|000038393|90571|3|3|2
356|000067090|104083|2|10|3
357|000050299|87204|5|3|1
358|000050189|107829|2|4|4
359|000007922|119459|2|2|1
360|000016106|40924|3|9|1
361|000068759|27733|4|6|2
362|000014516|40256|3|5|5
363|000041465|33508|4|3|5
364|000015298|106641|1|7|3
365|000056580|119950|4|9|4
366|000080302|23934|1|9|0
367|000076978|58971|4|2|3
368|000094190|55686|5|9|2
369|000066719|73952|2|10|4
370|000014288|100556|2|8|5
371|000088342|115880|5|11|4
372|000022670|113255|3|4|5
373|000037554|42288|2|10|1
374|000021727|40181|3|4|3
375|000022375|59116|3|2|4
376|000088621|57159|5|2|5
377|000052095|42113|1|8|0
378|000017209|50480|2|12|1
379|000037521|38767|5|1|1
380|000097812|54264|3|1|3
381|000024926|77806|4|10|4
382|000075204|58510|1|4|4
383|000066007|80127|3|6|5
384|000054193|71494|4|11|4
385|000074861|92115|3|9|0
386|000050431|104067|4|3|0
387|000027327|81397|3|2|5
388|000036861|103084|2|6|2
389|000041895|26292|2|2|2
390|000046316|67377|3|3|0
391|000095965|32203|4|1|3
392|000009658|65505|5|4|1
393|000049577|66901|2|2|2
394|000038812|106590|3|4|2
395|000065658|107006|3|5|4
396|000052473|88739|5|1|4
397|000066248|50851|2|2|4
398|000016072|105870|3|10|5
399|000077713|37117|5|7|3
400|000010914|103706|5|10|2
401|000042952|32654|1|7|5
402|000090104|69626|5|6|2
403|000072532|64033|5|1|1
404|000081188|106743|2|11|1
405|000067154|67555|1|11|2
406|000088868|69897|4|4|3
407|000039706|92073|5|4|3
408|000047376|112341|1|10|0
409|000051792|30334|3|1|3
410|000058539|63338|3|12|4
411|000059865|62351|1|0|1
412|000063354|41013|5|6|3
413|000083701|115582|3|0|2
414|000030838|44062|2|1|5
415|000083758|46758|3|6|1
416|000021653|72005|3|3|3
417|000007626|106262|2|3|1
418|000042496|99804|2|2|1
419|000055884|42205|2|6|2
420|000020437|25059|5|1|0
421|000018456|60449|2|6|3
422|000030578|67270|3|7|4
423|000019971|20739|2|11|3
424|000042333|70860|2|2|2
425|000066473|65556|2|8|1
426|000080944|76273|4|6|4
427|000038144|20805|5|3|0
428|000083343|116706|2|1|2
429|000048870|67263|3|0|5
430|000000546|31237|3|8|1
431|000042681|94874|3|8|1
432|000042314|98912|4|8|1
433|000077212|37184|2|6|4
434|000007834|33269|5|6|1
435|000052706|116112|4|2|5
436|000064286|27115|2|4|3
437|000032453|99070|2|6|5
438|000083969|113953|2|0|3
439|000070866|99162|4|11|3
440|000002048|66805|3|10|3
441|000098872|106994|2|4|0
442|000045017|49717|5|2|1
443|000070451|83013|2|2|4
444|000010749|80722|3|3|2
445|000029080|100260|4|4|4
446|000053286|110888|2|5|4
447|000049552|119386|3|3|2
448|000064150|115018|1|1|4
449|000068048|63039|3|10|4
450|000082036|57007|5|12|0
451|000093724|50891|2|8|5
452|000020922|85850|5|4|2
453|000054052|88069|3|2|3
454|000035509|113887|4|3|5
455|000039732|20965|3|5|5
456|000046989|87798|3|9|1
457|000028204|117269|3|10|2
458|000047758|76886|4|4|4
459|000086228|119408|1|10|3
460|000086923|119098|1|1|3
461|000068925|92301|2|3|3
462|000011056|115056|3|7|5
463|000099947|32262|5|11|4
464|000097232|68567|4|11|2
465|000084331|50272|4|10|4
466|000079320|76666|2|9|3
467|000003563|38852|3|3|1
468|000051695|85123|2|10|2
469|000081027|84394|1|0|3
470|000054565|86375|4|7|4
471|000083325|81996|3|7|1
472|000020514|37476|3|7|2
473|000044424|44083|2|4|4
474|000091764|70918|1|4|3
475|000076430|84171|3|11|1
476|000057172|110859|4|8|3
477|000082116|104083|4|2|3
478|000055592|53403|4|3|5
479|000044027|37651|5|1|2
480|000078824|57385|3|10|3
481|000009702|118870|2|5|2
482|000075592|47627|4|2|5
483|000081096|57197|1|3|1
484|000089309|100119|5|10|3
485|000010367|78142|5|2|5
486|000054627|88186|3|10|4
487|000085042|51545|5|3|3
488|000048993|75264|1|4|3
489|000019514|41621|4|0|2
490|000002434|71654|2|5|4
491|000030470|50759|3|2|1
492|000081274|69950|1|9|0
493|000073837|118227|5|12|3
494|000018686|53493|4|6|3
495|000013027|99482|4|4|2
496|000013876|97051|4|11|5
497|000006559|56980|5|6|4
498|000094623|36283|5|9|2
499|000061505|71105|5|7|0
500|000031819|114607|2|1|5
501|000032465|42740|1|7|3
502|000027724|115360|1|3|4
503|000044386|104709|3|1|3
504|000058734|39607|5|7|3
505|000026458|111273|1|5|0
506|000010719|117320|2|7|2
507|000045675|37098|2|6|1
