,FACID,facname,factype,facurl,facloc,abouturl,textfromurl
10,21,Chinese American Service League,education,http://www.caslservice.org/, Metro,https://www.caslservice.org/who-we-are/,"
Chinese American Service League
  2141 South Tan Court  |  Chicago, IL  |  60616  |  312.791.0418 Stay Connected to CASL! Secondary Menu Who We Are In the fall of 1978, ten dedicated Chinese Americans came together to bridge the gap in services for Chinese American immigrants in Chicago. Their passion and commitment ignited the spark for the Chinese American Service League (CASL), which has since burgeoned into a nurturing hub in the heart of Chinatown. Today, almost 40 years later, CASL is the largest, most comprehensive social service agency in the Midwest dedicated to serving the needs of Chinese Americans. At CASL, we welcome all who walk through our doors regardless of race, ethnicity, religion, gender, age, lifestyle, and needs. We serve over 11,000 diverse clients each year: With more than 500 multilingual and multicultural professional and support staff — complemented by a team of over 250 dedicated volunteers — we offer our clients vital physical, economic, mental, and social support. Our $13+ million budget — which includes generous contributions from individuals, foundations, and corporate donors — supports programming that primarily serves immigrants who often lack formal education, possess few transferable job skills, and know little of the new world around them. Since many of these individuals do not speak English and sometimes have no family or friends in the area, CASL becomes their instant family, friend, and teacher. With our support, CASL clients become thriving residents of the greater Chicago community, making valuable contributions as independent, productive members of society. In the words of one of those clients, “We had nothing but our dreams. The Chinese American Service League helped us realize them.” CASL Materials CASL Connections Footer Menu "
11,21,Chinese American Service League,education,http://www.caslservice.org/, Metro,https://www.caslservice.org/history-and-mission/,"
Chinese American Service League
  2141 South Tan Court  |  Chicago, IL  |  60616  |  312.791.0418 Stay Connected to CASL! Secondary Menu History and Mission In the fall of 1978, ten dedicated Chinese Americans came together to bridge the gap in services for Chinese American immigrants in Chicago. Their passion and commitment ignited the spark for the Chinese American Service League (CASL), which has since burgeoned into a nurturing hub in the heart of Chinatown. Today, almost 40 years later, CASL is the largest, most comprehensive social service agency in the Midwest dedicated to serving the needs of Chinese Americans. At CASL, we welcome all who walk through our doors regardless of race, ethnicity, religion, gender, age, lifestyle, and needs. We serve over 11,000 diverse clients each year: With more than 500 multilingual and multicultural professional and support staff — complemented by a team of over 250 dedicated volunteers — we offer our clients vital physical, economic, mental, and social support. Our $13+ million budget — which includes generous contributions from individuals, foundations, and corporate donors — supports programming that primarily serves immigrants who often lack formal education, possess few transferable job skills, and know little of the new world around them. Since many of these individuals do not speak English and sometimes have no family or friends in the area, CASL becomes their instant family, friend, and teacher. With our support, CASL clients become thriving residents of the greater Chicago community, making valuable contributions as independent, productive members of society. In the words of one of those clients, “We had nothing but our dreams. The Chinese American Service League helped us realize them.” CASL Materials CASL Connections Footer Menu "
12,24,The Community House,education,http://www.thecommunityhouse.org/, Metro,http://www.thecommunityhouse.org/who-we-are/,"Main menu 
                    
          
                    
          Who We Are Based in Hinsdale and serving the surrounding suburbs, The Community House is a nonprofit organization that offers both community recreation and quality social services to people of all ages and walks of life.  We make a difference in the lives of thousands of families and individuals by providing local opportunities for athletics, arts and culture, counseling, education services, volunteer opportunities, and community connections.
  Community Recreation The Community House offers programs in a wide array of areas including; the arts, theater, fitness, athletics, education, group outings, special events, adult programming and fitness, senior services and programming including fitness, computers, trips and more.  These programs give participants, both children and adults an opportunity to build friendships, create memories and improve their quality of life. Social Services The Community House is vital to the western suburbs as an option for important services. The Counseling Center provides highly qualified therapists to offer psychotherapy for  individuals, couples, families, and groups.  Residents of the isolated Willowbrook Corner neighborhood receive opportunities in recreation, learning and education. Individual and families facing the challenges of autism receive therapy, programming and support from the Charlie’s Gift Autism Center. Deeply Rooted in the Community For over 70 years, The Community House has been the source for recreation and social programs in Hinsdale and the surrounding communities.  Generations have turned to The Community House as a place to hold community events, fundraisers, plays and to meet and socialize. The Community House serves a broad range of residents from Burr Ridge, Clarendon Hills, Darien, Downers Grove, Hinsdale, Oak Brook, Westmont, and Willowbrook.  The Community House delivers these programs thanks to the support of individual donors, memberships, program fees and relationships with corporate partners. The Community House does not receive any tax support. Visitors to The Community House keep coming back for new learning experiences, counseling support, recreation and volunteer opportunities.  Ultimately, all areas of service provided by The Community House enriches the quality of life for people of all ages. Did You Know? We Have a Wide Reach In 2011, 64 communities in DuPage and Cook Counties benefited from the services and programs at The Community House. You can help us reach out to even more with your tax-deductable donation. Donate here! © The Community House 2017 "
13,24,The Community House,education,http://www.thecommunityhouse.org/, Metro,http://www.thecommunityhouse.org/who-we-are/mission-history/,"Main menu Who We Are > Mission & History Your Place to Gather and Grow The Community House is your source for community recreation and quality social services that meet vital needs within the surrounding communities. Every day we live out our mission. “We build community by providing inspiring opportunities for learning, social support, and recreation.” Based in Hinsdale and serving the surrounding suburbs, we are a nonprofit organization (501(c)3) that offers community recreation and quality social services to people of all ages and walks of life.  We make a difference in the lives of thousands of families and individuals by providing local opportunities for athletics, arts and culture, counseling, education services, volunteer opportunities, and community connections. Learn more about what we do >   “The Community House is the mortar that holds together the bricks of the community – the only organization in the area that reaches out to the full spectrum of people.” —  Fred Krehbiel, Life Trustee First impressions are lasting… when you walk into The Community House you will experience a warm and welcoming environment for your whole family. Explore our site, see what we have to offer, and we invite you to come and start building new friendships as you get involved in the community. As a 501(c)(3) nonprofit organization, we do not receive tax support, and we rely on the contributions of the community to sustain our services. We are grateful to the many generous community contributors; who over generations have dedicated their time, talents and financial support to make what we do possible. Extraordinary Accomplishments Through Generations of Leadership The rich and dynamic history of The Community House began in 1941 when a group of area residents recognized there was a growing need to support and serve the community. Our spirit of service has its roots in those early days, and continues to shape our dedication to building community and meeting local needs. Read about our complete history Did You Know? Counseling Is a Wise Investment For every $1 spent on mental health services, $5 is saved in overall healthcare costs. (American Psychological Association). If you need help or know someone who does, learn more about our confidential counseling services. © The Community House 2017 "
14,32,Family Focus Inc.,education,http://www.family-focus.org/,  West Suburban,http://www.family-focus.org/quick-look-family-focus,"
Jump to navigation
 Search form About Us 10 Things to Know About Family Focus   Whoops! This page is down for scheduled maintenance. We apologize for the inconvenience.    Read more fast facts about Family Focus, the communties we serve, and more.  Find out more about our seven different centers and the programs they offer. Read our quarterly newsletters, or email Kelsey, Marketing and Development Coordinator, to subscribe to our mailing list and stay up-to-date with Family Focus. CONTACT US 310 S. Peoria StreetSuite 301 Chicago, IL 60607Phone: 312-421-5200   SIGN UP HomeAbout UsOur ImpactGet InvolvedOur CentersContact UsPrivacy Policy  "
15,32,Family Focus Inc.,education,http://www.family-focus.org/,  West Suburban,http://www.family-focus.org/about-us/overview,"
Jump to navigation
 Search form About Us  Overview   Our Mission The mission of Family Focus is to promote the well-being of children from birth by supporting and strengthening families in and with their communities We help parents gain confidence and competence as the primary caregivers and educators of their children. We provide parents and their children with critical resources and learning opportunities to encourage healthy development in their communities. What We Do EARLY CHILDHOOD DEVELOPMENT We provide parents with training and educational tools to support healthy early childhood development. We work as partners, evaluating benchmarks and providing resources to meet the developmental needs of children. We connect parents to others in their community, creating a support structure that enables the whole family to positively impact a child's emotional state, ability to socialize, capacity to learn, and preparation for school, for a lifetime of well-being. YOUTH DEVELOPMENT Family Focus supports children and youth ages 6-18 through enhanced educational opportunities programs to explore science, technology, engineering and math, as well as sports and cultural activities that encourage healthy development, self-confidence and the ability to create positive relationships. FAMILY SUPPORT SERVICES By helping parents, grandparents and family members achieve their own personal academic and career goals, we impact the lives of their children. Classes, support groups, and family events help caregivers gain skills and confidence. PROGRAM STRATEGIES INCLUDE: Who We Serve                                                                                           There are seven Family Focus locations in the greater Chicago area, including Aurora, Cicero/Hermosa, DuPage, Englewood, Evanston, Highland Park/Highwood,and Lawndale. What Makes Us Unique We begin in the home, one-on-one with participating families in the context of their cultural heritage and specific needs, and then connect parents with other parents and staff at the Family Focus center in their community offering classes, support groups and family activities.  PARTICIPANT FEEDBACK 99% of participants say that Family Focus programs are respectful of their culture 96% of Family Focus participants are satisfied with the services they received 97% of caregivers report a better understanding of their child's development 94% of parents report their child is doing better in school since participating in the program CONTACT US 310 S. Peoria StreetSuite 301 Chicago, IL 60607Phone: 312-421-5200   SIGN UP HomeAbout UsOur ImpactGet InvolvedOur CentersContact UsPrivacy Policy  "
16,41,Infant Welfare Society of Evanston,education,http://www.iwse.org/,  North-Northwest,http://www.iwse.org/about/,"Openings Now Available for Infants and Toddlers. Apply Today Infant Welfare Society of Evanston Helping children and families thrive since 1913 The Infant Welfare Society of Evanston serves Evanston and its surrounding communities with programs that nurture, support, and educate the whole family.  IWSE runs two full-day, NAEYC accredited child care and early education facilities — Baby Toddler Nursery and Teen Baby Nursery — and provides comprehensive parenting support and education through our Family Support Program. In our centers, we keep our class sizes small, encourage family participation, and celebrate each child’s uniqueness and individuality. Family Support strengthens at-risk families by giving them the tools to be successful. We aim to act as an advocate, care-taker, and champion for all of our children. We believe that all families deserve access to high-quality care and early childhood education. We serve families of all socioeconomic levels, so their children can enter kindergarten ready to learn. No matter the level of need, there is a place for your child and your family at IWSE. Events Sidebar Warm Your Palate Donate Now Donate Now Enroll Engage IWSE at a Glance What do we do and whydo we do it? Learn more > Site Map 2200 Main Street · Evanston, IL 60202 · 847-491-9650 
	Copyright © 2017 · All Rights Reserved · 	Infant Welfare Society of Evanston 
		Site design by Jell Creative "
17,44,Lawrence Hall Youth Services,education,http://www.lawrencehall.org,  Metro,https://www.lawrencehall.org/about-us/,"About Us Lawrence Hall is constant care, love and support For more than 150 years, Lawrence Hall has been delivering  high quality care to abused and neglected youth and their  families throughout the Chicago metropolitan area. The  agency has not only sustained itself for the duration, but  it has redefined how our traumatized youth are educated  and treated. Lawrence Hall is a statewide leader in highly-effective,  evidence-based, and innovative therapeutic treatment. The  agency’s unique continuum of care, which promotes overall well-being led by an expert staff, has positioned Lawrence  Hall to meet the changing and complex needs of youth and  families by not only becoming more community-based but  by developing more preventative programs that help curb  violence in our communities. Each year Lawrence Hall serves approximately 1,000 youth and families who have suffered severe trauma in their lives. For them, Lawrence Hall is a pathway to success and a better tomorrow. Take a moment to read through these pages to see what  Lawrence Hall means to its youth and families. See the change that Lawrence Hall is making in the lives of so many. We  encourage you to open your heart to these youth and families  and be a part of that change.   Contact Us 4833 N. Francisco AvenueChicago, Illinois 60625 Events Main Campus Community... Accreditations Resources Newsletter Sign-Up Follow Us Search 
				©2016 Lawrence Hall All rights reserved. 
                Site Construction by WorkSite 
 Join Us! Make a Monetary Donation Get Our eNEWSLETTER Volunteer Your Time Donation Donation via paypal from your visitors "
18,50,"Project: VISION, Inc.",education,http://www.projectvisionchicago.org/, Metro,http://www.projectvisionchicago.org/who-we-are/,"Secondary menu Project: VISION Main menu  Who We Are  our background and our purpose Project: VISION was an idea conceived by a group of young professionals, students, and volunteers who saw a need for community youth to have a place to call their own. In Fall 2004, with the help of a few volunteers and borrowed space from the Chicago Public Library and Valentine Boys and Girls Club in Bridgeport, Project: VISION piloted its first tutoring program. Since then, our programs have reached over 500 youths, while remaining primarily volunteer-run and continuing to provide all programs free to youth. It’s a common misconception that Asian American students already excel academically, and therefore, these communities have little need for tutoring and after school programs. The truth is, every community has an underserved population and we are no exception. Who We Serve Our youth are between the ages of 12 and 21 from the Chinatown, Bridgeport, and surrounding neighborhoods. 96%  Chinese American, reflecting the area’s demographics 96%  are enrolled in Chicago Public Schools 90%  are from first-generation immigrant families 70%  would be the first in their families to attend college © Copyright 2005 - 2017 Project: VISION, Inc. 236 W 22nd Place Unit 1, Chicago, IL 60616 | (312) 808-1898 | staff@ProjectVisionChicago.org Site Map | Privacy Policy "
19,50,"Project: VISION, Inc.",education,http://www.projectvisionchicago.org/, Metro,http://www.projectvisionchicago.org/,"Secondary menu Project: VISION Main menu read me! Fri, Apr 7, 2017–Sat, Apr 15, 2017 There will be no tutoring 4/7-4/15. All other programs are as scheduled. Enjoy your break! upcoming events Project: LEAD LEAD Program Sat, May 20, 2017–Sun, May 21, 2017
							
							PV Center After School Homework Tutoring LEARN Program Fri, Jun 16, 2017–Sat, Jun 17, 2017
							
							PV Youth Center 2017 Chinatown 5K PV Fundraiser Sat, Jul 8, 2017–Sun, Jul 9, 2017
							
							Location TBA Recent News Project: VISION Wraps a Busy 2016 Feb 2017 Project: VISION wrapped up a busy year with a flurry of activity. We had our very first Open House on December 6th to show off our new space on 22nd Place. Thank you to all of our supporters for... Success Story: Judy Eng Feb 2017 Meet Judy, one of PV’s recent graduates and currently one of our office interns. Come say “hi” to her at the front desk! Here is her story: © Copyright 2005 - 2017 Project: VISION, Inc. 236 W 22nd Place Unit 1, Chicago, IL 60616 | (312) 808-1898 | staff@ProjectVisionChicago.org Site Map | Privacy Policy "
20,50,"Project: VISION, Inc.",education,http://www.projectvisionchicago.org/, Metro,http://www.projectvisionchicago.org/news/project-vision-wraps-a-busy-2016/,"Secondary menu Project: VISION Main menu  View News Archive Project: VISION Wraps a Busy 2016 Feb 2017 Project: VISION wrapped up a busy year with a flurry of activity. We had our very first Open House on December 6th to show off our new space on 22nd Place. Thank you to all of our supporters for making the visit! We had a wonderful time speaking with everyone about all of the exciting plans we have for 2017! In case you missed it, take the virtual tour! PV also kicked off the charitable holiday season with Giving Tuesday, and finished the giving campaign raising more than $12,000 through our online campaign, while our students and volunteers raised more than $2,500 through gift wrapping with local Barnes & Nobles stores. We want to thank all of our donors and volunteers – these funds will go a long way to help bring services to 165 youths before this school year ends! © Copyright 2005 - 2017 Project: VISION, Inc. 236 W 22nd Place Unit 1, Chicago, IL 60616 | (312) 808-1898 | staff@ProjectVisionChicago.org Site Map | Privacy Policy "
