City,OtherName,Country,Latitude,Longitude,Certainty,BC_3700,BC_3500,BC_3300,BC_3000,BC_2800,BC_2500,BC_2400,BC_2300,BC_2200,BC_2100,BC_2000,BC_1900,BC_1800,BC_1700,BC_1600,BC_1500,BC_1400,BC_1300,BC_1200,BC_1100,BC_1000,BC_900,BC_800,BC_700,BC_600,BC_500,BC_400,BC_300,BC_200,BC_100,AD_1,AD_100,AD_200,AD_300,AD_400,AD_500,AD_600,AD_700,AD_800,AD_900,AD_1000
Nanjing,Nanking,China,32.05,118.766667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,300000,500000,,,,,
Nara City,,Japan,34.685333,135.832742,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,
Navarino,Pylos,Greece,36.916667,21.7,1,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,
Nicomedia,,Turkey,40.766667,29.916667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,
Nina,Surghul,Iraq,31.411389,46.407222,3,,,,,,,,,,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nineveh,,Iraq,36.359444,43.152778,1,,,,,,,,,,,,,,,10000,10000,10000,10000,10000,10000,10000,,,100000,,,,,,,,,,,,,,,,,
Nippur,,Iraq,32.12693858,45.23078534,1,,,,10000,10000,20000,20000,30000,30000,30000,30000,20000,20000,,,,20000,30000,20000,,,,,,,,,,,,,,,,,,,,,,
Nishapur,,Iran,36.213333,58.795833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,130000
Pataliputra,near Patna,India,25.611,85.144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,400000,350000,200000,100000,100000,100000,,,,,,,,
Patan,Anhilwara,India,23.83,72.12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000
Pergamum,,Turkey,39.13225127,27.1836318,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,100000,160000,140000,170000,,,,,,,,
Peshawar,"Purusapura, Pushkalavati",Pakistan,34.008,71.57849,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,100000,,,,,,,,
Pi-Ramesses,,Egypt,30.798889,31.835833,2,,,,,,,,,,,,,,,,,,,160000,120000,,,,,,,,,,,,,,,,,,,,,
Pyay,"Sri Ksetra, Prome",Myanmar,18.82151,95.221029,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,100000,,
Qatna,,Syria,34.835,36.865833,1,,,,,,,,,,,,,20000,20000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,
Qufu,Lu,China,35.6,117.033333,1,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,180000,,100000,170000,,,,,,,,,,
Rajagriha,Rajgir,India,25.03,85.42,2,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,
Rakhigarhi,Rakhi Garhi,India,29.288611,76.113056,1,,,,,,,,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayy,"Rey, Ray",Iran,35.5833,51.4333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,100000,100000
Rome,,Italy,41.89474,12.4839,1,,,,,,,,,,,,,,,,,,,,,,,,,,100000,150000,250000,210000,400000,800000,1000000,1200000,1000000,800000,100000,,,,,
Samarkand,Sumarqand,Uzbekistan,39.6576,66.947561,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,,,,,,,,,,,,100000,200000
Samarra, Samarra' ,Iraq,34.198333,43.874167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,
Sanxingdui,,China,30.993,104.2,1,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,,,,,,,
Sapinuwa,Shapinuwa,Turkey,40.266667,35.25,1,,,,,,,,,,,,,,,,,,75000,60000,,,,,,,,,,,,,,,,,,,,,,
Seleucia,,Iraq,33.094444,44.522222,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,200000,300000,400000,400000,,,,,,,,,
Seville,,Spain,37.388097,-5.982331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000
Shahr-e Sukhteh,Shakr-I-Sohta,Iran,30.595278,61.326389,1,,,,,,20000,20000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shangqi,Shanghi,China,31.22222,121.45806,3,,,,,,,,,,,,,,,,,,,,,,,,,,100000,130000,100000,,,,,,,,,,,,,
Shehna,"Tell Leilan, Shubat-Enlil",Syria,36.957222,41.505278,3,,,,,,10000,10000,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuruppak,,Iraq,31.77736278,45.50976115,1,,,,,30000,30000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sippar,,Iraq,33.05882931,44.25215335,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smyrna,Izmir,Turkey,38.41273,27.13838,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,100000,,,,,,,,
Susa,,Iran,32.19085,48.246028,1,,,,,,,10000,10000,10000,10000,25000,,10000,10000,10000,10000,10000,10000,20000,,,,,,,,,,,,,,,,,,,,,,
Suzhou,Soochow,China,31.3,120.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,,,,,,,,,120000,100000,100000,100000,100000
Syracuse,,Greece,37.06082237,15.29420264,2,,,,,,,,,,,,,,,,,,,,,,,,,,100000,120000,200000,,,,,,,,,,,,,
Tanis,,Egypt,30.976944,31.88,1,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,,,,,
Taxilla,Taxila,Pakistan,33.75743141,72.82952293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,150000,150000,100000,150000,100000,100000,100000,,,,,,
Tell Taya,Samiatum,Iraq,36.33261877,42.4937529,1,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teotihuacan,,Mexico,19.69291001,-98.84606,1,,,,,,,,,,,,,,,,,,,,,,100000,150000,100000,100000,,,,,,,,,,100000,150000,100000,100000,,,
Thanjavur,Tanjore,India,10.786999,79.137827,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000
Thebes,Waset,Egypt,25.720556,32.610278,1,,,,,,,,,,,,,10000,10000,10000,60000,80000,80000,150000,100000,120000,100000,100000,100000,,,,,,,,,,,,,,,,,
Thessaloniki,"Salonica, Thessalonica",Greece,40.63935,22.944606,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000
Tiahuanaco,Tiwanaku,Bolivia,-16.55228,-68.67953,1,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,100000,,
Tikal,Tical,Guatemala,17.222094,-89.623614,1,,,,,,,,,,,,,,,,,,,,,,100000,100000,,100000,,,,,,,,,,100000,100000,,100000,,,
Tinnis,Tennis,Egypt,31.2,32.233333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000
Titris Hoyuk,,Turkey,37.47622,38.676116,3,,,,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tollan,Tula,Mexico,20.064156,-99.340803,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,100000
Trier,Treves,Germany,49.75565,6.63935,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,
Troy,,Turkey,39.9575,26.238889,1,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,
Tyre,,Lebanon,33.27333,35.19389,1,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,
Ugarit,,Syria,35.60228865,35.78656277,1,,,,,,,,,,,,,,,,,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,,
Ujjain,,India,23.18239,75.77643,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,100000,,,,,,,
Umma,,Sumer,31.6211048,45.93344587,1,,,,,20000,40000,40000,40000,10000,20000,25000,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ur,,Iraq,30.962659,46.10321,1,,,,,12000,10000,10000,20000,40000,100000,20000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urkesh,"Urkiesh, Urkish, Tell Mozan",Syria,37.056944,40.997222,3,,,,,10000,30000,30000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruk,Erech,Iraq,31.322222,45.636111,1,,14000,40000,40000,80000,40000,30000,30000,,30000,30000,30000,,,,,30000,30000,,,,,,,,,,,,,,,,,,,,,,,
Vaishali,,India,25.6833,85.081782,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,200000,100000,100000,100000,100000,100000,200000,,,,,,,
Venice,,Italy,45.440847,12.315514,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000
Wuxi,"Wuchang, Wuhsi",China,31.49117,120.31191,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,
Xian,"Sian, Changan, Xi'an",China,34.341485,108.940404,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,400000,420000,100000,,,100000,100000,400000,1000000,800000,100000,
Xianyang,,China,34.35,108.716667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,,,,,,,,,,,,
Xinzheng,,China,34.233333,113.433333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,120000,,,,,,,,,,,,,
Yin,Yinxu,China,36.139444,114.303056,1,,,,,,,,,,,,,,,,,,120000,120000,,,,,,,,,,,,,,,,,,,,,,
Yiyang,,China,28.583333,112.333333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,200000,,,,,,,,,,,,,
Zabalam,Zabala,Iraq,31.743333,45.876667,2,,,,,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
