City,OtherName,Country,Latitude,Longitude,Certainty,AD_2000
Tehran,Teheran,Iran,35.69439,51.42151,1,6758000
Tianjin,Tientsin,China,39.14222,117.17667,1,5855000
Tianmen,,China,30.663337,113.166078,2,1507000
Tianshui,"Tsinchow, Tienshui",China,34.57952,105.74238,1,1040000
Tokyo,"Yedo, Edo",Japan,35.6895,139.69171,1,8130000
Tripoli,,Libya,32.876175,13.187508,1,1500000
Ufa,,Russian Federation,54.78517,56.04562,1,1087000
Urumqi,"Ürümqi, Tihwa, Bishbaliq, Urumchi",China,43.825,87.6,2,1131000
Vadodara,Baroda,India,22.30731,73.181098,1,1062000
Valencia,,Spain,39.469908,-0.376289,1,1363000
Vienna,Wien,Austria,48.20849,16.37208,1,1560000
Visakhapatnam,Vizagapatam,India,17.6883,83.2186,1,1504000
Wafangdian,Wafangjan,China,39.631,121.974,2,1001000
Warsaw,,Poland,52.22977,21.01178,1,1615000
Weifang,,China,36.7167,119.1,1,1151000
Wuhan,Wuchang,China,30.58333,114.26667,1,4040000
Wuxi,"Jiangsu province, Wuchang, Wuhsi",China,31.49117,120.31191,1,1013000
Xian,"Sian, Changan, Xi'an",China,34.341485,108.940404,1,2873000
Xiantao,,China,30.3667,113.45,3,1371000
Xiaogan,,China,30.9167,113.9,1,1302000
Xinghua,,China,32.93,119.83,1,1497000
Xingtai,,China,37.0631,114.494,1,1306000
Yangcheng,Jiangsu province,China,34.455278,113.025278,3,1367000
Yangon,,Myanmar,16.80528,96.15611,1,2513000
Yekaterinburg,Ekaterinburg,Russian Federation,56.833333,60.6,1,1267000
Yerevan,Erivan,Aremenia,40.1833,44.5167,1,1249000
Yixing,,China,31.03,119.3,1,1075000
Yokohama,,Japan,35.443708,139.638026,1,3427000
Yulin,Guangxi province,China,22.6333,110.15,2,1323000
Yuzhou,Henan province,China,34.1634,113.4608,2,1073000
Zaozhuang,,China,34.8667,117.55,2,1793000
Zhanjiang,,China,21.2,110.4,1,1399000
Zhongshan,,China,22.517646,113.392782,1,1237000
Zhucheng,,China,36.01,119.4167,1,1039000
Zibo,,China,36.79056,118.06333,1,2484000
